Timestamp,What time frame (s) does your prompt best fit into?,Prompt Text : Describe the situation,Option 1:,Option 2:,Option 3:,Result of Option 1:,Result of Option 2:,Result of Option 3:,Health Stat Changes,Academic Stat Changes,Social Stat Changes,Extracurr. Stat Changes
16/08/2021 17:23:17,Fall Semester (General),You need to print something,You go to one of the ECE computer labs in Sanford Fleming or GB,You go to a library,You don't print it,You get to print your stuff for free and in Colour (if you're in some of labs),You have to pay a few cents to print :/,You suffer :((((,,"1,1,-2",,
16/08/2021 20:51:57,"Fall Semester (General), Fall Midterms / Finals",There's a quiz this afternoon and you have a free hour at noon,"You decide to study and eat lunch in the Pit, the basement of Sanford Fleming, a popular engineering hangout.",You skip eating lunch and go to the quiet study rooms in the library on the second floor of Sanford Fleming to study,You go to Gerstein library and sneak in some food as you study,"You get to eat, study with your friends, and relax :) You do moderately well on the quiz.",You are able to focus easily and ace the quiz but your empty stomach makes noises so loud everyone taking the quiz hear...,"You're a bit rushed and sweaty since Gerstein is further away, but you were able to study well.","1,-2,1","1,3,2","2,0,0",
16/08/2021 20:56:53,Fall Reading Week,It's the first day of Fall Reading Break,You write out a detailed schedule of what you want to do on each day,You go out all day and night with some friends,"You write a general goals list of what you need to finish, in order of priority","You are unable to finish everything on the list, but you make good progress. Things don't always work out and that's okay!",You're massively hung over the next day,You finish all the high priority items and have time to see your friends sometimes,"0,-1,0","1,-1,2","0,2,0",
16/08/2021 21:06:31,Fall Semester (General),First day of Linear Algebra... where do you sit?,"Near the front, in the middle of the row",Aisle seat in the middle of the classroom,Back of the class,"You feel a bit confused about the content, but the professor notices and tries to solve the source of your confusion.",Someone sits next to you and they ask a question you also had. You get their contact info after class.,You make a friend who sits by you but both of you spend most of the class on your phones...,,"2,1,-1","0,1,1",
22/08/2021 15:58:07,Fall Semester (General),"Between classes on a Thursday afternoon, you notice students gathered around a tower of beer cans stacked high in the main floor of Myhal... it's Isengard!","I don't really have time for this, I have class","Seems like fun, maybe I'll watch for a few minutes",Contribute to the tower!,"You arrive early to your next class, getting great seats","You stay for a bit, getting some pictures and chatting with a few new people before moving onto your next class","You miss your next class, but marvel at the structure you made with several new friends in different disciplines",,"2,1,-1","0,1,2","0,0,1"
23/08/2021 17:23:34,Clubs Fair,You pass this club booth for the Spark Design Club!!!!,You stop and chat with the wonderful and welcoming Spark Execs :),You smile and wave but keep walking,You hang back but listen as an Exec explains the club to another person,You get to learn about a cool club that created the game you're playing RIGHT NOW and you sign up for the mailing list so you can attend future events :) starting off the year right <3,You feel... an emptiness.... of not learning about such a cool club... ,You get to learn more about the club and eventually ask some questions of your own :) kudos for reaching out,,,,"3,-2,2"
23/08/2021 17:30:01,Halloween,"Tonight is Halloween, but tomorrow is something even more spooky... your Calculus midterm!",You hang out with some friends and study,You go out to a Halloween party you heard from a friend of a friend,You study by yourself in a library,You pass around a bucket of candy in the study group and get to ask your friends a lot of questions to clarify. It wasn't the most productive time but you had a good time.,You get so hungover the next day you almost vomit on the test paper but the party was fun,"You study well and sleep early, and coincidentally see a friend in the library","0,-2,1","1,0,2","2,3,1",
23/08/2021 17:44:03,Winter Semester (General),It's a reaaally cold day but you have a 9AM class,You bundle up and trundle out to face the elements on your way to class,"You get up and have breakfast, texting and checking if any of your friends are going today",You go back to sleep,You are one of the few people in class today and end up chatting with one of the lecturers. You actually understand everything that was taught today!,You skip the first few classes and get notes from your friends. You spend the morning catching up on work and head out in the afternoon after it marginally warms up.,You wake up at 3pm....,"0,0,1","2,1,-1",,
23/08/2021 17:52:52,Winter Semester (General),You're desperately lost in one of your classes and the midterm is in two weeks...,You go to office hours with your professor,You go to your tutorial and stick around afterwards to ask more questions,You ask all your friends questions about different concepts you're confused about,"You feel slightly intimidated and embarrassed about your confusion, but no one else comes to office hours so your professor spends the entire time explaining concepts to you and you feel more confident",You feel comfortable chatting with your TA and they offer their email for any more questions you have; which comes in handy over the weekend when you start doing more of the homework problems,You have a slightly patchwork understanding but are comforted by the fact that no one else seems to know what's going on either... ,,"2,2,1","0,0,1",
23/08/2021 17:57:06,Godiva Week,It's time to make GINGERBREAD BRIDGES at Godiva Week but you have class right now,Watch from a table in the Pit but don't participate,Join in with some people you haven't met before,Go to class,You get a bit bored just watching and end up slipping into the back of your class mid way through,Your bridge comes in second (right behind that of the Civ profs...) but the new friends you made are the real prize. You add them on Facebook and hope to stay in touch,You are very studious and get a tip on what might be on the next test,,,,
23/08/2021 18:00:45,Thanksgiving,You get a day off from classes for Thanksgiving,"You take a day to treat your self, call your family, and sleep more",You take the time to study more because the grind never stops,You go out during the day to hang out with friends and go drinking at night,"You feel refreshed and content, ready to tackle studying for the next midterm with confidence",You feel slightly burnt out on Saturday night...,You have a good time but you're too hungover to function the next day,"2,-1,-1","0,2,0","0,0,2",
23/08/2021 18:02:28,Fall Semester (General),You arrive at the front doors of myhal for your ESP tutorial. Your tutorial is on the third floor.,Run up the stairs,Walk up the stairs,Take the elevator,"Phew, what a great workout! You arrive five minutes early.",You know you don’t have time to wait for the elevator. You make your way up the stairs and arrive just as the tutorial is about to start. ,"After waiting a few minutes for the elevator to arrive, you notice the elevator is still on floor 8. You decide to take the stairs instead and arrive rather late.","2,1,0","1,1,-1",,
23/08/2021 18:07:28,During F!rosh week,"While you're walking on front campus, a medical-masked ArtSci tries to steal your hard hat off your head!",Scream,Run away,Hold your hard hat with the underhanded power grip,"They grab your hard hat, then laugh and hand it back to you while introducing themselves. You just made a friend!",You narrowly escape with your hard hat still on your head! Your friends laugh when you tell them what happened.,The ArtSci realizes they’ve been outsmarted and walks away defeated. Your Frosh leedur gives you a high-five.,,,"2,1,1",
23/08/2021 18:13:46,"Fall Semester (General), Winter Semester (General)",You notice your water bottle is nearly empty. There are a few minutes before class starts.,Go to Sanford Fleming,Go to Myhal,Go to Bahen,"After struggling with the knee-high water fountain, someone informs you there is a better water fountain in the Pit. You refill your bottle and head to class.","After wandering around, you realize there are no water fountains on the first and second floor of Myhal. You head back to class, feeling a little parched.",You quench your thirst at a water fountain near the Cube and head to class.,"1,0,1",,,
23/08/2021 18:24:23,"Fall Semester (General), Fall Midterms / Finals, Winter Semester (General), Winter Midterms / Finals",You've been studying Calculus for several hours and it's getting quite late. Your eyelids start to droop.,Get some rest,Stay up for a few hours,Sleep is for the weak!,You feel super refreshed and finish your studying with time left to spare at the end of the day. Time to relax!,You notice your productivity declining and decide to go to bed. You wake up feeling tired but still able to pay attention in class the next day.,The words start to blur on the page as your eyes slip shut. You wake up feeling groggy and have trouble paying attention in class the next day.,"2,0,-1","0,1,0",,
23/08/2021 18:33:03,"Fall Semester (General), Winter Semester (General)",Lunchtime! What to eat?,Find food at the Pit,Find a food truck,Skip lunch,"You find some buddies at a table and savor your meal from the Hard Hat Cafe and Veda. If you packed your own food, you're enjoying it now.",You savor the food you bought from the nearby food truck.,"Later that day, your stomach rumbles, distracting you throughout the lecture. You regret skipping lunch.","1,1,-1",,"1,0,0",
23/08/2021 18:43:42,Winter Semester (General),"Your friends invite you to board game night tonight, but you have a lab tomorrow that you're not prepared for.",Grind out the prelab,Hang out at games night,Leave games night early to finish the prelab,Staying on top of your studies is more important. You tell yourself you'll meet with your friends later.,"You treasure the time you have with your friends. The lab isn't worth that much, anyway.",You have a great time with your friends and have enough time to finish the prelab. You wake up a little tired the next day and receive a good grade on your lab.,"0,0,-1","2,-2,0","-1,2,1",
